,province,DailyTotals,date,DailyRecovered,TotalDeaths,DailyDeaths,TotalActive,DailyVaccinated,Aboriginal Day,Boxing Day,Canada Day,Christmas,Civic Holiday,Easter,Family Day,Fathers Day,Halloween,Heritage Day,Islander Day,Labours Day,Louis Riel Day,Mothers Day,New Year's day,Remembrance Day,St. Jean Baptiste Day,St. Patricks Day,Thanksgiving,Valentine's day,Victoria Day,Lockdown_yesorno
69,Alberta,107,2020-04-03,22,18,5,861,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
70,Alberta,106,2020-04-04,0,20,2,965,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
71,Alberta,69,2020-04-05,83,23,3,948,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
72,Alberta,98,2020-04-06,82,24,1,963,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
73,Alberta,25,2020-04-07,86,26,2,900,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
74,Alberta,50,2020-04-08,72,29,3,875,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
75,Alberta,28,2020-04-09,73,32,3,827,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
76,Alberta,49,2020-04-10,0,39,7,869,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
77,Alberta,69,2020-04-11,182,40,1,755,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
78,Alberta,82,2020-04-12,49,44,4,784,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
79,Alberta,81,2020-04-13,54,46,2,809,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
80,Alberta,138,2020-04-14,37,48,2,908,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
81,Alberta,126,2020-04-15,0,48,0,1034,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
82,Alberta,162,2020-04-16,0,50,2,1194,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
83,Alberta,239,2020-04-17,210,50,0,1223,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
84,Alberta,165,2020-04-18,38,51,1,1349,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
85,Alberta,241,2020-04-19,36,55,4,1550,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
86,Alberta,105,2020-04-20,32,59,4,1619,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
87,Alberta,187,2020-04-21,43,61,2,1761,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
88,Alberta,306,2020-04-22,37,66,5,2025,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
89,Alberta,319,2020-04-23,47,68,2,2295,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
90,Alberta,297,2020-04-24,40,72,4,2548,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
91,Alberta,216,2020-04-25,74,73,1,2689,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
